Experiment,Tag,Seed,Trigger,Arch_Pair,L_Mode,Tau,Dist_Ep,Temp,V_Temp,RW,Delta,D_Min,Beta,NQ,Trig_Size,T_Acc,Base_Acc,Design,Base_Sig,Base_P,Base_Ver,FT1%_Acc,FT1%_Sig,FT1%_P,FT1%_Ver,FT5%_Acc,FT5%_Sig,FT5%_P,FT5%_Ver,FT10%_Acc,FT10%_Sig,FT10%_P,FT10%_Ver,P_Gap,FP_Rate,Min_P,Median_P,PRUNE_25%_Acc,PRUNE_25%_DeltaPP,PRUNE_25%_Sig,PRUNE_25%_P,PRUNE_25%_Log10P,PRUNE_25%_Ver,PRUNE_25%_P_MR,PRUNE_25%_P_ST1,PRUNE_50%_Acc,PRUNE_50%_DeltaPP,PRUNE_50%_Sig,PRUNE_50%_P,PRUNE_50%_Log10P,PRUNE_50%_Ver,PRUNE_50%_P_MR,PRUNE_50%_P_ST1,PRUNE_75%_Acc,PRUNE_75%_DeltaPP,PRUNE_75%_Sig,PRUNE_75%_P,PRUNE_75%_Log10P,PRUNE_75%_Ver,PRUNE_75%_P_MR,PRUNE_75%_P_ST1,INT8_QUANT_Acc,INT8_QUANT_DeltaPP,INT8_QUANT_Sig,INT8_QUANT_P,INT8_QUANT_Log10P,INT8_QUANT_Ver,INT8_QUANT_P_MR,INT8_QUANT_P_ST1
ExpA1_MainTable,c100v5_resnet56_resnet20_T10,N/A,REC,resnet56 -> resnet20,soft,N/A,160,10,15.0,0.1,15.0,N/A,0.5,50000,4975,72.6%,54.6%,mean_rest,0.0010,3.9e-136,True,53.9%,0.0008,4.2e-107,True,53.8%,0.0007,6.1e-109,True,54.4%,0.0006,9.7e-89,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ExpA1_MainTable,c100v5_resnet56_resnet20_T10_b0.7_d15.0,N/A,REC,resnet56 -> resnet20,soft,N/A,160,10,15.0,0.1,15.0,N/A,0.7,50000,5101,72.6%,54.2%,mean_rest,0.0017,0.0e+00,True,52.9%,0.0015,0.0e+00,True,53.6%,0.0012,0.0e+00,True,53.6%,0.0010,1.3e-284,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ExpA1_MainTable,c100v5_resnet56_resnet56_T1,N/A,REC,resnet56 -> resnet56,soft,N/A,160,1,15.0,0.1,15.0,N/A,0.5,50000,4984,72.6%,54.0%,mean_rest,0.0008,7.7e-31,True,54.1%,0.0008,3.5e-30,True,54.4%,0.0007,1.2e-26,True,55.1%,0.0007,3.2e-24,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ExpA1_MainTable,c100v5_resnet56_resnet56_T1_b0.7_d15.0,N/A,REC,resnet56 -> resnet56,soft,N/A,160,1,15.0,0.1,15.0,N/A,0.7,50000,5077,72.6%,52.7%,mean_rest,0.0048,0.0e+00,True,52.3%,0.0049,0.0e+00,True,53.2%,0.0047,0.0e+00,True,53.7%,0.0045,0.0e+00,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ExpA1_MainTable,c100v5_resnet56_resnet56_T3,N/A,REC,resnet56 -> resnet56,soft,N/A,160,3,15.0,0.1,15.0,N/A,0.5,50000,5122,72.6%,57.3%,mean_rest,0.0019,0.0e+00,True,57.1%,0.0018,0.0e+00,True,57.7%,0.0016,0.0e+00,True,58.2%,0.0014,0.0e+00,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ExpA1_MainTable,c100v5_resnet56_resnet56_T3_b0.7_d15.0,N/A,REC,resnet56 -> resnet56,soft,N/A,160,3,15.0,0.1,15.0,N/A,0.7,50000,4888,72.6%,56.3%,mean_rest,0.0050,0.0e+00,True,56.4%,0.0049,0.0e+00,True,57.0%,0.0044,0.0e+00,True,57.5%,0.0038,0.0e+00,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ExpA1_MainTable,c100v5_resnet56_resnet56_T5,N/A,REC,resnet56 -> resnet56,soft,N/A,160,5,15.0,0.1,15.0,N/A,0.5,50000,5010,72.6%,57.3%,mean_rest,0.0016,0.0e+00,True,57.2%,0.0016,0.0e+00,True,57.7%,0.0014,0.0e+00,True,58.0%,0.0012,2.8e-289,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ExpA1_MainTable,c100v5_resnet56_resnet56_T5_b0.7_d15.0,N/A,REC,resnet56 -> resnet56,soft,N/A,160,5,15.0,0.1,15.0,N/A,0.7,50000,4930,72.6%,57.9%,mean_rest,0.0039,0.0e+00,True,57.9%,0.0037,0.0e+00,True,58.1%,0.0033,0.0e+00,True,58.2%,0.0029,0.0e+00,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ExpA1_MainTable,c100v5_resnet56_resnet56_T10,N/A,REC,resnet56 -> resnet56,soft,N/A,160,10,15.0,0.1,15.0,N/A,0.5,50000,4952,72.6%,59.6%,mean_rest,0.0015,7.8e-307,True,59.2%,0.0014,1.9e-282,True,59.6%,0.0013,7.1e-266,True,59.7%,0.0011,6.0e-243,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ExpA1_MainTable,c100v5_resnet56_resnet56_T10_b0.7_d15.0,N/A,REC,resnet56 -> resnet56,soft,N/A,160,10,15.0,0.1,15.0,N/A,0.7,50000,4939,72.6%,59.0%,mean_rest,0.0027,0.0e+00,True,58.9%,0.0026,0.0e+00,True,59.0%,0.0023,0.0e+00,True,59.7%,0.0021,0.0e+00,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
